Object(s),Event,Timecode,Time,X,Y,Z,PLD Error,Re-projection Error,Nearest Camera Distance,Screen coordinates (may be multiple columns)
Subsample_3 5 (Omykiss),Movement 53,0:00:04:15.00/60000,255,25.310303,-6.209653,-6.677247,0.014206,0.475296,81.418739,
Subsample_3 5 (Omykiss),Movement 54,0:00:04:18.00/60000,258,25.320299,-6.192062,-6.735753,0.014304,1.145469,81.466423,
Subsample_3 5 (Omykiss),Movement 55,0:00:04:21.00/60000,261,25.289051,-6.224294,-6.621937,0.014057,0.671905,81.374245,
Subsample_3 5 (Omykiss),Movement 56,0:00:04:24.00/60000,264,25.265404,-6.178486,-6.639562,0.01397,0.603308,81.4198,
Subsample_3 5 (Omykiss),Movement 57,0:00:04:27.00/60000,267,25.393572,-6.077151,-6.759337,0.014709,0.336847,81.581596,
Subsample_3 5 (Omykiss),Movement 58,0:00:04:30.00/60000,270,25.315613,-6.124014,-6.616255,0.01421,0.634445,81.456902,
Subsample_3 5 (Omykiss),Length 59,0:00:04:21.00/60000,261,16.910309,-5.25392,-8.289942,0.018648,1.823225,82.766159,
Subsample_3 5 (Omykiss),Length 59,0:00:04:21.00/60000,261,25.20406,-6.411557,-6.425398,0.01345,1.108068,81.102989,
Subsample_3 5 (Omykiss),Length 60,0:00:04:24.00/60000,264,16.712872,-5.47553,-8.204419,0.020817,1.048795,82.537025,
Subsample_3 5 (Omykiss),Length 60,0:00:04:24.00/60000,264,25.30335,-6.127983,-6.619288,0.014153,0.74623,81.45414,
Subsample_3 5 (Omykiss),Length 61,0:00:04:27.00/60000,267,16.955732,-5.164067,-8.498043,0.017657,1.948514,82.956734,
Subsample_3 5 (Omykiss),Length 61,0:00:04:27.00/60000,267,25.405008,-6.132307,-6.759485,0.014749,0.55864,81.536942,
Subsample_3 6 (Omykiss),Search_Forage 62,0:00:04:09.00/60000,249,42.212994,-33.438122,2.076649,0.514931,3.321948,59.344315,
Subsample_3 6 (Omykiss),Movement 63,0:00:04:12.00/60000,252,37.165382,-28.666761,4.656898,0.375578,1.344231,59.412586,
Subsample_3 6 (Omykiss),Movement 64,0:00:04:15.00/60000,255,36.612492,-32.091225,6.687643,0.459418,1.926319,55.494781,
Subsample_3 6 (Omykiss),Search_Forage 65,0:00:04:18.00/60000,258,40.051975,-36.931244,5.710228,0.596642,4.340381,53.876541,
Subsample_3 6 (Omykiss),Movement 66,0:00:04:21.00/60000,261,38.21645,-37.33326,7.287171,0.605969,3.281347,51.916397,
Subsample_3 6 (Omykiss),Movement 67,0:00:04:24.00/60000,264,34.470783,-37.391396,9.105665,0.557611,1.292125,49.431763,
Subsample_3 6 (Omykiss),Length 68,0:00:04:15.8293/60000,255.138214,45.708511,-34.970184,5.905372,0.701975,5.083103,57.641186,
Subsample_3 6 (Omykiss),Length 70,0:00:04:15.9294/60000,255.154907,45.623638,-35.030331,5.922418,0.701788,4.302923,57.550049,
Subsample_3 6 (Omykiss),Length 68,0:00:04:15.8293/60000,255.138214,37.173435,-31.709682,6.656549,0.464176,1.119305,55.991493,
Subsample_3 6 (Omykiss),Length 70,0:00:04:15.9294/60000,255.154907,37.048355,-31.884157,6.745713,0.466372,1.110847,55.766994,
Subsample_3 7 (Omykiss),Movement 72,0:00:04:03.00/60000,243,-37.40937,-4.84992,22.548288,0.110938,2.787486,70.745514,
Subsample_3 7 (Omykiss),Movement 71,0:00:04:00.00/60000,240,-37.342072,-4.950436,22.539301,0.111881,3.014969,70.632698,
Subsample_3 7 (Omykiss),Movement 73,0:00:04:06.00/60000,246,-37.436523,-4.779147,22.56543,0.109981,2.58966,70.814766,
Subsample_3 7 (Omykiss),Movement 74,0:00:04:09.00/60000,249,-37.699223,-4.449124,22.668585,0.106911,6.034117,71.183159,
Subsample_3 7 (Omykiss),Movement 75,0:00:04:12.00/60000,252,-37.347225,-4.661508,22.699654,0.106265,3.810242,70.854118,
Subsample_3 7 (Omykiss),Search_Forage 77,0:00:04:18.00/60000,258,22.642271,-14.178334,-4.139675,0.013247,1.412002,73.221008,
